"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.75000000000E+005, +1.14383285112E+001, +0.00000000000E+000
+5.80000000000E+005, +1.14493678302E+001, +0.00000000000E+000
+5.85000000000E+005, +1.15050420961E+001, +0.00000000000E+000
+5.90000000000E+005, +1.15112940678E+001, +0.00000000000E+000
+5.95000000000E+005, +1.15473882935E+001, +0.00000000000E+000
+6.00000000000E+005, +1.15852581318E+001, +0.00000000000E+000
+6.05000000000E+005, +1.16086939658E+001, +0.00000000000E+000
+6.10000000000E+005, +1.16400065711E+001, +0.00000000000E+000
+6.15000000000E+005, +1.16507393821E+001, +0.00000000000E+000
+6.20000000000E+005, +1.17009466474E+001, +0.00000000000E+000
+6.25000000000E+005, +1.17208236082E+001, +0.00000000000E+000
+6.30000000000E+005, +1.17382398251E+001, +0.00000000000E+000
+6.35000000000E+005, +1.17739129146E+001, +0.00000000000E+000
+6.40000000000E+005, +1.18011646312E+001, +0.00000000000E+000
+6.45000000000E+005, +1.18096499508E+001, +0.00000000000E+000
+6.50000000000E+005, +1.18381239650E+001, +0.00000000000E+000
+6.55000000000E+005, +1.18684945000E+001, +0.00000000000E+000
+6.60000000000E+005, +1.18925372753E+001, +0.00000000000E+000
+6.65000000000E+005, +1.19112766518E+001, +0.00000000000E+000
+6.70000000000E+005, +1.19401364104E+001, +0.00000000000E+000
+6.75000000000E+005, +1.19499358151E+001, +0.00000000000E+000
+6.80000000000E+005, +1.19852248561E+001, +0.00000000000E+000
+6.85000000000E+005, +1.20030566938E+001, +0.00000000000E+000
+6.90000000000E+005, +1.20227838489E+001, +0.00000000000E+000
+6.95000000000E+005, +1.20497515827E+001, +0.00000000000E+000
+7.00000000000E+005, +1.20709479890E+001, +0.00000000000E+000
+7.05000000000E+005, +1.20897665549E+001, +0.00000000000E+000
+7.10000000000E+005, +1.21134701643E+001, +0.00000000000E+000
+7.15000000000E+005, +1.21325255005E+001, +0.00000000000E+000
+7.20000000000E+005, +1.21486635067E+001, +0.00000000000E+000
+7.25000000000E+005, +1.21739424821E+001, +0.00000000000E+000
+7.30000000000E+005, +1.21849612115E+001, +0.00000000000E+000
+7.35000000000E+005, +1.22035049695E+001, +0.00000000000E+000
+7.40000000000E+005, +1.22222503287E+001, +0.00000000000E+000
+7.45000000000E+005, +1.22294274581E+001, +0.00000000000E+000
+7.50000000000E+005, +1.22422525238E+001, +0.00000000000E+000
+7.55000000000E+005, +1.22742177019E+001, +0.00000000000E+000
+7.60000000000E+005, +1.22873239744E+001, +0.00000000000E+000
+7.65000000000E+005, +1.23007412264E+001, +0.00000000000E+000
+7.70000000000E+005, +1.23092987417E+001, +0.00000000000E+000
+7.75000000000E+005, +1.23350189404E+001, +0.00000000000E+000
+7.80000000000E+005, +1.23629880630E+001, +0.00000000000E+000
+7.85000000000E+005, +1.23483724180E+001, +0.00000000000E+000
+7.90000000000E+005, +1.23862802485E+001, +0.00000000000E+000
+7.95000000000E+005, +1.23869529778E+001, +0.00000000000E+000
+8.00000000000E+005, +1.24089997101E+001, +0.00000000000E+000
+8.05000000000E+005, +1.24137281603E+001, +0.00000000000E+000
+8.10000000000E+005, +1.24540294678E+001, +0.00000000000E+000
+8.15000000000E+005, +1.24622285281E+001, +0.00000000000E+000
+8.20000000000E+005, +1.24542152562E+001, +0.00000000000E+000
+8.25000000000E+005, +1.24876762009E+001, +0.00000000000E+000
+8.30000000000E+005, +1.24941747186E+001, +0.00000000000E+000
+8.35000000000E+005, +1.25103162733E+001, +0.00000000000E+000
+8.40000000000E+005, +1.25148549886E+001, +0.00000000000E+000
+8.45000000000E+005, +1.25163561902E+001, +0.00000000000E+000
+8.50000000000E+005, +1.25437281573E+001, +0.00000000000E+000
+8.55000000000E+005, +1.25627250489E+001, +0.00000000000E+000
+8.60000000000E+005, +1.25561499421E+001, +0.00000000000E+000
+8.65000000000E+005, +1.25811395108E+001, +0.00000000000E+000
+8.70000000000E+005, +1.26003301746E+001, +0.00000000000E+000
+8.75000000000E+005, +1.25923484048E+001, +0.00000000000E+000
+8.80000000000E+005, +1.26137614121E+001, +0.00000000000E+000
+8.85000000000E+005, +1.26294680042E+001, +0.00000000000E+000
+8.90000000000E+005, +1.26357336380E+001, +0.00000000000E+000
+8.95000000000E+005, +1.26430873361E+001, +0.00000000000E+000
+9.00000000000E+005, +1.26550279568E+001, +0.00000000000E+000
+9.05000000000E+005, +1.26727249448E+001, +0.00000000000E+000
+9.10000000000E+005, +1.26852654052E+001, +0.00000000000E+000
+9.15000000000E+005, +1.26899502401E+001, +0.00000000000E+000
+9.20000000000E+005, +1.27015232977E+001, +0.00000000000E+000
+9.25000000000E+005, +1.27138661385E+001, +0.00000000000E+000
+9.30000000000E+005, +1.27209372475E+001, +0.00000000000E+000
+9.35000000000E+005, +1.27318510028E+001, +0.00000000000E+000
+9.40000000000E+005, +1.27454858262E+001, +0.00000000000E+000
+9.45000000000E+005, +1.27623342337E+001, +0.00000000000E+000
+9.50000000000E+005, +1.27563571031E+001, +0.00000000000E+000
+9.55000000000E+005, +1.27668435975E+001, +0.00000000000E+000
+9.60000000000E+005, +1.27831291857E+001, +0.00000000000E+000
+9.65000000000E+005, +1.27999834012E+001, +0.00000000000E+000
+9.70000000000E+005, +1.28111754632E+001, +0.00000000000E+000
+9.75000000000E+005, +1.28216760599E+001, +0.00000000000E+000
+9.80000000000E+005, +1.28215510991E+001, +0.00000000000E+000
+9.85000000000E+005, +1.28294612205E+001, +0.00000000000E+000
+9.90000000000E+005, +1.28284280328E+001, +0.00000000000E+000
+9.95000000000E+005, +1.28496936064E+001, +0.00000000000E+000
+1.00000000000E+006, +1.28619947163E+001, +0.00000000000E+000
+1.00500000000E+006, +1.28629873834E+001, +0.00000000000E+000
+1.01000000000E+006, +1.28759578452E+001, +0.00000000000E+000
+1.01500000000E+006, +1.28771842227E+001, +0.00000000000E+000
+1.02000000000E+006, +1.28939305553E+001, +0.00000000000E+000
+1.02500000000E+006, +1.28982522695E+001, +0.00000000000E+000
+1.03000000000E+006, +1.29097900463E+001, +0.00000000000E+000
+1.03500000000E+006, +1.29058244061E+001, +0.00000000000E+000
+1.04000000000E+006, +1.29183789844E+001, +0.00000000000E+000
+1.04500000000E+006, +1.29229850633E+001, +0.00000000000E+000
+1.05000000000E+006, +1.29516048334E+001, +0.00000000000E+000
+1.05500000000E+006, +1.29485982470E+001, +0.00000000000E+000
+1.06000000000E+006, +1.29447660180E+001, +0.00000000000E+000
+1.06500000000E+006, +1.29460863240E+001, +0.00000000000E+000
+1.07000000000E+006, +1.29668928074E+001, +0.00000000000E+000
+1.07500000000E+006, +1.29680797357E+001, +0.00000000000E+000
+1.08000000000E+006, +1.29891837362E+001, +0.00000000000E+000
+1.08500000000E+006, +1.29983312746E+001, +0.00000000000E+000
+1.09000000000E+006, +1.29926528676E+001, +0.00000000000E+000
+1.09500000000E+006, +1.30183839645E+001, +0.00000000000E+000
+1.10000000000E+006, +1.29978827219E+001, +0.00000000000E+000
+1.10500000000E+006, +1.30185158162E+001, +0.00000000000E+000
+1.11000000000E+006, +1.30271587354E+001, +0.00000000000E+000
+1.11500000000E+006, +1.30269203191E+001, +0.00000000000E+000
+1.12000000000E+006, +1.30369392065E+001, +0.00000000000E+000
+1.12500000000E+006, +1.30459876789E+001, +0.00000000000E+000
+1.13000000000E+006, +1.30461955189E+001, +0.00000000000E+000
+1.13500000000E+006, +1.30708110997E+001, +0.00000000000E+000
+1.14000000000E+006, +1.30661936274E+001, +0.00000000000E+000
+1.14500000000E+006, +1.30747290918E+001, +0.00000000000E+000
+1.15000000000E+006, +1.30729638414E+001, +0.00000000000E+000
+1.15500000000E+006, +1.30769981706E+001, +0.00000000000E+000
+1.16000000000E+006, +1.30939281507E+001, +0.00000000000E+000
+1.16500000000E+006, +1.31016550007E+001, +0.00000000000E+000
+1.17000000000E+006, +1.30895493863E+001, +0.00000000000E+000
+1.17500000000E+006, +1.31019920390E+001, +0.00000000000E+000
+1.18000000000E+006, +1.31133246329E+001, +0.00000000000E+000
+1.18500000000E+006, +1.31121867591E+001, +0.00000000000E+000
+1.19000000000E+006, +1.31151763452E+001, +0.00000000000E+000
+1.19500000000E+006, +1.31355120036E+001, +0.00000000000E+000
+1.20000000000E+006, +1.31397136493E+001, +0.00000000000E+000
+1.20500000000E+006, +1.31468626715E+001, +0.00000000000E+000
+1.21000000000E+006, +1.31430743688E+001, +0.00000000000E+000
+1.21500000000E+006, +1.31400278198E+001, +0.00000000000E+000
+1.22000000000E+006, +1.31504666418E+001, +0.00000000000E+000
+1.22500000000E+006, +1.31557360826E+001, +0.00000000000E+000
+1.23000000000E+006, +1.31581336514E+001, +0.00000000000E+000
+1.23500000000E+006, +1.31627907778E+001, +0.00000000000E+000
+1.24000000000E+006, +1.31776306141E+001, +0.00000000000E+000
+1.24500000000E+006, +1.31796656747E+001, +0.00000000000E+000
+1.25000000000E+006, +1.31795780719E+001, +0.00000000000E+000
+1.25500000000E+006, +1.31908397460E+001, +0.00000000000E+000
+1.26000000000E+006, +1.31806480243E+001, +0.00000000000E+000
+1.26500000000E+006, +1.31780639920E+001, +0.00000000000E+000
+1.27000000000E+006, +1.31960436963E+001, +0.00000000000E+000
+1.27500000000E+006, +1.32150184522E+001, +0.00000000000E+000
+1.28000000000E+006, +1.32022870152E+001, +0.00000000000E+000
+1.28500000000E+006, +1.32081696410E+001, +0.00000000000E+000
+1.29000000000E+006, +1.32279653677E+001, +0.00000000000E+000
+1.29500000000E+006, +1.32211148862E+001, +0.00000000000E+000
+1.30000000000E+006, +1.32259201617E+001, +0.00000000000E+000
+1.30500000000E+006, +1.32286484680E+001, +0.00000000000E+000
+1.31000000000E+006, +1.32264933290E+001, +0.00000000000E+000
+1.31500000000E+006, +1.32405918012E+001, +0.00000000000E+000
+1.32000000000E+006, +1.32306204068E+001, +0.00000000000E+000
+1.32500000000E+006, +1.32421442550E+001, +0.00000000000E+000
+1.33000000000E+006, +1.32515584799E+001, +0.00000000000E+000
+1.33500000000E+006, +1.32492837501E+001, +0.00000000000E+000
+1.34000000000E+006, +1.32583179886E+001, +0.00000000000E+000
+1.34500000000E+006, +1.32470585063E+001, +0.00000000000E+000
+1.35000000000E+006, +1.32612569501E+001, +0.00000000000E+000
+1.35500000000E+006, +1.32623803283E+001, +0.00000000000E+000
+1.36000000000E+006, +1.32858887289E+001, +0.00000000000E+000
+1.36500000000E+006, +1.32672443006E+001, +0.00000000000E+000
+1.37000000000E+006, +1.32799122736E+001, +0.00000000000E+000
+1.37500000000E+006, +1.32924003468E+001, +0.00000000000E+000
+1.38000000000E+006, +1.32852759878E+001, +0.00000000000E+000
+1.38500000000E+006, +1.32997085510E+001, +0.00000000000E+000
+1.39000000000E+006, +1.33008875811E+001, +0.00000000000E+000
+1.39500000000E+006, +1.33028366713E+001, +0.00000000000E+000
+1.40000000000E+006, +1.33002232360E+001, +0.00000000000E+000
+1.40500000000E+006, +1.33034793403E+001, +0.00000000000E+000
+1.41000000000E+006, +1.33045045381E+001, +0.00000000000E+000
+1.41500000000E+006, +1.33155456835E+001, +0.00000000000E+000
+1.42000000000E+006, +1.33370440876E+001, +0.00000000000E+000
+1.42500000000E+006, +1.33322598182E+001, +0.00000000000E+000
+1.43000000000E+006, +1.33350655977E+001, +0.00000000000E+000
+1.43500000000E+006, +1.33332923936E+001, +0.00000000000E+000
+1.44000000000E+006, +1.33399364727E+001, +0.00000000000E+000
+1.44500000000E+006, +1.33445059579E+001, +0.00000000000E+000
+1.45000000000E+006, +1.33469487943E+001, +0.00000000000E+000
+1.45500000000E+006, +1.33512043816E+001, +0.00000000000E+000
+1.46000000000E+006, +1.33446688815E+001, +0.00000000000E+000
+1.46500000000E+006, +1.33557732418E+001, +0.00000000000E+000
+1.47000000000E+006, +1.33569120079E+001, +0.00000000000E+000
+1.47500000000E+006, +1.33687443142E+001, +0.00000000000E+000
+1.48000000000E+006, +1.33678376178E+001, +0.00000000000E+000
+1.48500000000E+006, +1.33911098426E+001, +0.00000000000E+000
+1.49000000000E+006, +1.33815533460E+001, +0.00000000000E+000
+1.49500000000E+006, +1.33930477266E+001, +0.00000000000E+000
